sample	vial	split	method	accepted_q_le_0.01	known_present	known_absent	adjusted_fdp	ci95_low	ci95_high	roc_auc	partial_auc_fpr_le_0.05	brier	ece_10_bin	wall_seconds	peak_rss_kb
mixtureArep2	A	validation	picked	179	175	4	0.025948806	0.010129894	0.065074108	0.9847611	0.96296521	NA	NA	0.03	9168
mixtureArep2	A	validation	bayes-fixed	221	176	45	0.23644529	0.1809221	0.30372852	0.96773694	0.88470741	0.42682452	0.56814213	0.06	11484
mixtureArep2	A	validation	bayes-selected	178	174	4	0.026094586	0.010187025	0.065430546	0.97198258	0.91809131	0.018284506	0.015281127	0.12	11400
mixtureArep3	A	test	picked	180	175	5	0.032255807	0.013844076	0.073583578	0.98537713	0.96859236	NA	NA	0.03	9200
mixtureArep3	A	test	bayes-fixed	215	175	40	0.2160389	0.16222798	0.2826487	0.97490424	0.89552473	0.41619156	0.56258012	0.06	11536
mixtureArep3	A	test	bayes-selected	176	173	3	0.019793336	0.0067508545	0.056793955	0.97796406	0.92243488	0.018313706	0.015340181	0.08	11608
mixtureBrep2	B	validation	picked	195	189	6	0.035699535	0.016448154	0.075986359	0.99347915	0.91435407	NA	NA	0.03	9740
mixtureBrep2	B	validation	bayes-fixed	226	177	49	0.25155535	0.1949937	0.31909986	0.98058521	0.86711413	0.39708861	0.55097891	0.06	12136
mixtureBrep2	B	validation	bayes-selected	184	176	8	0.050444996	0.025749295	0.096804869	0.99120337	0.92849234	0.020650643	0.01854081	0.18	12352
mixtureBrep3	B	test	picked	196	189	7	0.041436961	0.020194761	0.083388766	0.99445763	0.9495044	NA	NA	0.03	9536
mixtureBrep3	B	test	bayes-fixed	227	179	48	0.24533601	0.18953727	0.31227703	0.9801262	0.8583524	0.42055947	0.56796961	0.06	11976
mixtureBrep3	B	test	bayes-selected	185	180	5	0.0313577	0.013456851	0.071584557	0.99102004	0.94650163	0.014224372	0.0098529642	0.25	12000
mixtureABrep2	AB	validation	picked	212	206	6	0.039141509	0.018026294	0.083477549	0.99393716	0.97923417	NA	NA	0.04	10520
mixtureABrep2	AB	validation	bayes-fixed	378	352	26	0.095126984	0.065510627	0.13674278	0.98086363	0.90874562	0.31056577	0.42031629	0.07	13260
mixtureABrep2	AB	validation	bayes-selected	319	318	1	0.0043354232	0.0007656053	0.024258249	0.98313895	0.92031926	0.043216516	0.045949154	0.09	13144
mixtureABrep3	AB	test	picked	220	211	9	0.056577273	0.02996857	0.10497845	0.99542743	0.98571987	NA	NA	0.04	10212
mixtureABrep3	AB	test	bayes-fixed	379	352	27	0.098525066	0.068346863	0.14060318	0.97878601	0.89728673	0.31422903	0.42298621	0.07	13000
mixtureABrep3	AB	test	bayes-selected	321	318	3	0.012925234	0.004402649	0.037496983	0.97939611	0.90124902	0.047188408	0.045489848	0.09	12732
blankrep2	BLANK	validation	picked	33	0	33	1	0.89573	1	NA	NA	NA	NA	0	4948
blankrep2	BLANK	validation	bayes-fixed	3	0	3	1	0.43850297	1	NA	NA	0.31475831	0.54915644	0.01	5820
blankrep2	BLANK	validation	bayes-selected	6	0	6	1	0.60966571	1	NA	NA	0.029239011	0.046590787	0.01	5796
blankrep3	BLANK	test	picked	17	0	17	1	0.81568186	1	NA	NA	NA	NA	0	4732
blankrep3	BLANK	test	bayes-fixed	3	0	3	1	0.43850297	1	NA	NA	0.32582793	0.56270254	0.01	5540
blankrep3	BLANK	test	bayes-selected	3	0	3	1	0.43850297	1	NA	NA	0.016455305	0.025974585	0.01	5396
