dataset	method	wall_seconds	peak_rss_kb	protein_groups	target_q_lt_0.01	components	loopy_components	bp_iterations	converged
PXD032157_fixture	picked	0.07	23224	9216	0	-	-	-	-
PXD032157_fixture	bayesian	0.17	35612	10331	758	9216	93	43	true
hogrebe_tide	picked	0.45	63184	17164	4037	-	-	-	-
hogrebe_tide	bayesian	0.68	86668	17164	3687	17164	0	37	true
PXD020243_msfragger	picked	0.04	14672	5849	190	-	-	-	-
PXD020243_msfragger	bayesian	0.08	20440	5849	163	5849	0	37	true
PXD060954_sage	picked	0.23	34396	6061	1598	-	-	-	-
PXD060954_sage	bayesian	0.33	43276	6149	1542	6061	23	43	true
percolator_yeast	picked	0.10	29500	15105	460	-	-	-	-
percolator_yeast	bayesian	0.22	44552	15814	215	15105	42	46	true
