ProteinGroupId	q-value	posterior_error_prob	score	numPeptides	proteinIds
DECOY_CUFF.15875.2_2+	0.111111	NA	4.242432	1	DECOY_CUFF.15875.2_2+,DECOY_CUFF.15875.7_3+
DECOY_ACOM031228-PA	0.136364	NA	3.877592	1	DECOY_ACOM031228-PA
DECOY_AGAP000617-RA_1+	0.166667	NA	3.613038	1	DECOY_AGAP000617-RA_1+,DECOY_AGAP000617-RB_1+,DECOY_CUFF.16512.1_1+
DECOY_CUFF.11993.2_2+	0.200000	NA	3.556645	1	DECOY_CUFF.11993.2_2+
DECOY_CUFF.1888.4_2+	0.240000	NA	3.467059	1	DECOY_CUFF.1888.4_2+
DECOY_AGAP001407-RA_3+	0.259259	NA	3.413222	1	DECOY_AGAP001407-RA_3+
DECOY_AGAP001724-RA_1+	0.296296	NA	3.288726	1	DECOY_AGAP001724-RA_1+,DECOY_CUFF.3500.1_1+,DECOY_CUFF.3500.2_2+,DECOY_CUFF.3500.3_3+,DECOY_CUFF.3500.4_3+,DECOY_CUFF.3500.5_2+,DECOY_CUFF.3500.6_1+
DECOY_AGAP006615-RA_1+	0.333333	NA	3.276515	1	DECOY_AGAP006615-RA_1+,DECOY_CUFF.2077.2_1+
DECOY_CUFF.7864.1_1+	0.370370	NA	3.223694	1	DECOY_CUFF.7864.1_1+
DECOY_CUFF.2873.2_1+	0.407407	NA	3.221119	1	DECOY_CUFF.2873.2_1+
DECOY_CUFF.8167.1_3+	0.444444	NA	3.203231	1	DECOY_CUFF.8167.1_3+
DECOY_AGAP003151-RA_3+	0.481481	NA	3.151142	1	DECOY_AGAP003151-RA_3+
DECOY_AGAP000747-RA_1+	0.518519	NA	3.141116	1	DECOY_AGAP000747-RA_1+,DECOY_AGAP000747-RB_1+,DECOY_CUFF.16811.1_3+
DECOY_AGAP001488-RA_1+	0.555556	NA	3.125543	1	DECOY_AGAP001488-RA_1+,DECOY_AGAP001488-RB_2+,DECOY_CUFF.3241.2_2+
DECOY_AGAP006943-PA	0.592593	NA	3.102424	1	DECOY_AGAP006943-PA,DECOY_AGAP006943-RA_1+,DECOY_CUFF.2412.1_3+
DECOY_AGAP002321-RA_3+	0.600000	NA	3.074646	1	DECOY_AGAP002321-RA_3+,DECOY_CUFF.4068.1_1+,DECOY_CUFF.4068.3_3+
DECOY_AGAP011169-RA_2+	0.600000	NA	3.066122	1	DECOY_AGAP011169-RA_2+,DECOY_CUFF.7877.1_1+
DECOY_CUFF.5868.1_3+	0.600000	NA	2.950610	1	DECOY_CUFF.5868.1_3+
DECOY_AGAP010564-RA_3+	0.600000	NA	2.939059	1	DECOY_AGAP010564-RA_3+,DECOY_CUFF.7123.1_2+,DECOY_CUFF.7123.2_1+,DECOY_CUFF.7123.3_2+,DECOY_CUFF.7123.4_2+,DECOY_CUFF.7123.5_3+
DECOY_CUFF.3890.7_3+	0.600000	NA	2.907861	2	DECOY_CUFF.3890.7_3+
DECOY_AGAP009975-RA_3+	0.621622	NA	2.837008	1	DECOY_AGAP009975-RA_3+,DECOY_CUFF.11839.1_1+,DECOY_CUFF.11839.2_2+
DECOY_ACOM022485-PA	0.621622	NA	2.806736	1	DECOY_ACOM022485-PA,DECOY_AGAP010146-PA,DECOY_AGAP010146-RA_1+
DECOY_CUFF.3874.5_1+	0.648649	NA	2.757662	1	DECOY_CUFF.3874.5_1+
DECOY_CUFF.6159.1_3+	0.675676	NA	2.756966	1	DECOY_CUFF.6159.1_3+,DECOY_CUFF.6159.2_1+,DECOY_CUFF.6159.3_3+,DECOY_CUFF.6159.4_2+,DECOY_CUFF.6159.5_1+
DECOY_TCONS_00026224_3+	0.702703	NA	2.753861	1	DECOY_TCONS_00026224_3+
DECOY_AGAP003024-PA	0.729730	NA	2.741516	1	DECOY_AGAP003024-PA,DECOY_AGAP003024-PB,DECOY_AGAP003024-PC,DECOY_AGAP003024-PD,DECOY_AGAP003024-RA_2+,DECOY_AGAP003024-RB_3+,DECOY_AGAP003024-RC_3+,DECOY_AGAP003024-RD_3+,DECOY_CUFF.4689.1_3+
DECOY_AGAP008291-RA_2+	0.756757	NA	2.728781	1	DECOY_AGAP008291-RA_2+
DECOY_AGAP005840-RA_3+	0.763158	NA	2.720434	2	DECOY_AGAP005840-RA_3+
DECOY_sp|P40033|RSM18_YEAST	0.764706	NA	2.706102	1	DECOY_sp|P40033|RSM18_YEAST
