ProteinGroupId	q-value	posterior_error_prob	score	numPeptides	proteinIds
sp|P02769|ALBU_BOVIN	0.076923	NA	12.107531	33	sp|P02769|ALBU_BOVIN
ACOM022823-PA	0.076923	NA	6.104569	2	ACOM022823-PA,ACOM042500-PA,AGAP008622-PA,AGAP008622-RA_2+,AGAP010929-PA,AGAP010929-RA_3+,CUFF.10119.1_3+
ACOM027314-PA	0.076923	NA	5.979235	3	ACOM027314-PA,AGAP009099-PA,AGAP009099-RA_3+,CUFF.10723.3_1+
gi|1346343|sp|P04264|K2C1_HUMAN	0.076923	NA	5.876196	5	gi|1346343|sp|P04264|K2C1_HUMAN
gi|39794653|gb|AAH63697.1|	0.076923	NA	5.876196	6	gi|39794653|gb|AAH63697.1|
ACOM031357-PA	0.076923	NA	5.711749	2	ACOM031357-PA,AGAP007041-PA,AGAP007041-RA_1+
ACOM026392-PA	0.076923	NA	5.214061	1	ACOM026392-PA,AGAP012225-PA,AGAP012225-RA_1+,CUFF.9139.1_3+
ACOM023090-PA	0.076923	NA	4.947210	1	ACOM023090-PA,AGAP011100-PD,AGAP011100-RA_1+,CUFF.7827.1_2+,CUFF.7827.3_2+,CUFF.7827.5_1+
gi|21961605|gb|AAH34697.1|	0.076923	NA	4.649045	4	gi|21961605|gb|AAH34697.1|
gi|15559584|gb|AAH14152.1|	0.076923	NA	4.481242	1	gi|15559584|gb|AAH14152.1|,gi|18999435|gb|AAH24292.1|,gi|21961227|gb|AAH34535.1|,gi|27503816|gb|AAH42132.1|,gi|46812692|gb|AAH69269.1|
gi|14602965|gb|AAH09971.1|	0.076923	NA	4.458261	2	gi|14602965|gb|AAH09971.1|,gi|6016413|sp|Q15323|K1H1_HUMAN
gi|15080273|gb|AAH11901.1|	0.076923	NA	4.458261	1	gi|15080273|gb|AAH11901.1|,gi|17512236|gb|AAH19097.1|,gi|18089255|gb|AAH20982.1|,gi|24659602|gb|AAH39169.1|,gi|27769301|gb|AAH42437.1|,gi|33991652|gb|AAH56421.1|,gi|34783124|gb|AAH02539.2|
ACOM034418-PA	0.076923	NA	4.427988	2	ACOM034418-PA,AGAP001649-PA,AGAP001649-RA_1+,CUFF.3430.1_2+,CUFF.3430.2_1+
ACOM041694-PA	0.111111	NA	4.128801	1	ACOM041694-PA,AGAP010510-PA,AGAP010510-RA_1+,CUFF.7003.2_1+
TCONS_00028013_3+	0.111111	NA	4.044212	1	TCONS_00028013_3+
CUFF.342.6_1+	0.111111	NA	4.014540	1	CUFF.342.6_1+
ACOM032897-PA	0.111111	NA	3.935484	2	ACOM032897-PA,CUFF.11018.1_3+,CUFF.11018.2_3+
gi|136429|sp|P00761|TRYP_PIG	0.111111	NA	3.923120	2	gi|136429|sp|P00761|TRYP_PIG
CUFF.560.1_2+	0.136364	NA	3.836634	1	CUFF.560.1_2+
TCONS_00039659_2+	0.136364	NA	3.732020	1	TCONS_00039659_2+
ACOM026015-PA	0.136364	NA	3.706659	1	ACOM026015-PA
AGAP007726-PA	0.136364	NA	3.706659	2	AGAP007726-PA,AGAP007726-RA_1+,AGAP007726-RB_1+,CUFF.2941.1_2+,CUFF.2941.2_1+,CUFF.2941.3_2+,CUFF.2941.4_3+,CUFF.2941.5_3+
CUFF.16245.1_3+	0.166667	NA	3.607838	1	CUFF.16245.1_3+,CUFF.16245.2_1+,CUFF.3623.1_2+,CUFF.3623.2_2+,CUFF.3623.3_1+,CUFF.3623.4_2+,CUFF.5201.1_2+,CUFF.5201.2_2+,CUFF.7998.1_2+
CUFF.8877.1_3+	0.166667	NA	3.592977	1	CUFF.8877.1_3+
AGAP012372-RA_2+	0.200000	NA	3.529748	1	AGAP012372-RA_2+,CUFF.9341.1_1+,CUFF.9341.2_3+,CUFF.9341.3_3+,CUFF.9341.4_3+,CUFF.9341.5_1+,CUFF.9341.6_1+,CUFF.9341.7_1+,CUFF.9341.8_2+
ACOM029333-PA	0.259259	NA	3.376841	1	ACOM029333-PA,AGAP009943-PA,AGAP009943-RA_1+
AGAP010911-RA_3+	0.259259	NA	3.302960	1	AGAP010911-RA_3+
CUFF.9014.1_1+	0.600000	NA	3.022062	1	CUFF.9014.1_1+,CUFF.9014.3_2+,CUFF.9014.4_2+
AGAP002379-RA_1+	0.600000	NA	2.992766	1	AGAP002379-RA_1+,CUFF.4121.1_3+,CUFF.4121.2_1+,CUFF.4121.3_2+,CUFF.4121.4_1+,CUFF.4121.5_1+,CUFF.4121.6_3+
TCONS_00026717_3+	0.600000	NA	2.934661	1	TCONS_00026717_3+
AGAP009373-PA	0.600000	NA	2.927079	1	AGAP009373-PA,AGAP009373-RA_3+
ACOM033710-PA	0.600000	NA	2.925397	1	ACOM033710-PA,AGAP001157-PA,AGAP001157-RA_1+
CUFF.9641.1_3+	0.600000	NA	2.924722	1	CUFF.9641.1_3+,CUFF.9641.2_3+,CUFF.9641.3_3+,CUFF.9641.6_1+
CUFF.12046.1_1+	0.600000	NA	2.878139	1	CUFF.12046.1_1+
CUFF.11141.2_2+	0.600000	NA	2.864428	1	CUFF.11141.2_2+
AGAP008023-RA_2+	0.621622	NA	2.797785	1	AGAP008023-RA_2+
AGAP002324-RA_1+	0.621622	NA	2.765117	1	AGAP002324-RA_1+,CUFF.4046.1_2+,CUFF.4046.3_2+
CUFF.9744.1_2+	0.763158	NA	2.709554	1	CUFF.9744.1_2+,CUFF.9744.4_3+
AGAP003560-RA_3+	0.764706	NA	2.697235	1	AGAP003560-RA_3+
CUFF.5853.1_3+	0.764706	NA	2.671508	1	CUFF.5853.1_3+
