ProteinGroupId	q-value	posterior_error_prob	score	numPeptides	proteinIds
sp|P02769|ALBU_BOVIN	0.066667	NA	13.790462	33	sp|P02769|ALBU_BOVIN
ACOM022823-PA	0.066667	NA	7.394469	2	ACOM022823-PA,ACOM042500-PA,AGAP008622-PA,AGAP008622-RA_2+,AGAP010929-PA,AGAP010929-RA_3+,CUFF.10119.1_3+
ACOM031357-PA	0.066667	NA	6.983773	2	ACOM031357-PA,AGAP007041-PA,AGAP007041-RA_1+
gi|1346343|sp|P04264|K2C1_HUMAN	0.066667	NA	6.948142	5	gi|1346343|sp|P04264|K2C1_HUMAN
gi|39794653|gb|AAH63697.1|	0.066667	NA	6.948142	6	gi|39794653|gb|AAH63697.1|
ACOM027314-PA	0.066667	NA	6.785344	3	ACOM027314-PA,AGAP009099-PA,AGAP009099-RA_3+,CUFF.10723.3_1+
ACOM026392-PA	0.066667	NA	5.769964	1	ACOM026392-PA,AGAP012225-PA,AGAP012225-RA_1+,CUFF.9139.1_3+
gi|15559584|gb|AAH14152.1|	0.066667	NA	5.568820	1	gi|15559584|gb|AAH14152.1|,gi|18999435|gb|AAH24292.1|,gi|21961227|gb|AAH34535.1|,gi|27503816|gb|AAH42132.1|,gi|46812692|gb|AAH69269.1|
gi|21961605|gb|AAH34697.1|	0.066667	NA	5.358979	4	gi|21961605|gb|AAH34697.1|
ACOM023090-PA	0.066667	NA	5.322421	1	ACOM023090-PA,AGAP011100-PD,AGAP011100-RA_1+,CUFF.7827.1_2+,CUFF.7827.3_2+,CUFF.7827.5_1+
gi|14602965|gb|AAH09971.1|	0.066667	NA	4.897076	2	gi|14602965|gb|AAH09971.1|,gi|6016413|sp|Q15323|K1H1_HUMAN
gi|15080273|gb|AAH11901.1|	0.066667	NA	4.897076	1	gi|15080273|gb|AAH11901.1|,gi|17512236|gb|AAH19097.1|,gi|18089255|gb|AAH20982.1|,gi|24659602|gb|AAH39169.1|,gi|27769301|gb|AAH42437.1|,gi|33991652|gb|AAH56421.1|,gi|34783124|gb|AAH02539.2|
ACOM034418-PA	0.066667	NA	4.843474	2	ACOM034418-PA,AGAP001649-PA,AGAP001649-RA_1+,CUFF.3430.1_2+,CUFF.3430.2_1+
gi|136429|sp|P00761|TRYP_PIG	0.066667	NA	4.799735	2	gi|136429|sp|P00761|TRYP_PIG
ACOM032897-PA	0.066667	NA	4.566846	2	ACOM032897-PA,CUFF.11018.1_3+,CUFF.11018.2_3+
ACOM041694-PA	0.187500	NA	4.303480	1	ACOM041694-PA,AGAP010510-PA,AGAP010510-RA_1+,CUFF.7003.2_1+
TCONS_00039659_2+	0.217391	NA	3.907764	1	TCONS_00039659_2+
CUFF.342.6_1+	0.217391	NA	3.887092	1	CUFF.342.6_1+
CUFF.8877.1_3+	0.217391	NA	3.855440	1	CUFF.8877.1_3+
AGAP010911-RA_3+	0.217391	NA	3.664592	1	AGAP010911-RA_3+
ACOM026015-PA	0.217391	NA	3.552340	1	ACOM026015-PA
AGAP007726-PA	0.217391	NA	3.552340	2	AGAP007726-PA,AGAP007726-RA_1+,AGAP007726-RB_1+,CUFF.2941.1_2+,CUFF.2941.2_1+,CUFF.2941.3_2+,CUFF.2941.4_3+,CUFF.2941.5_3+
CUFF.560.1_2+	0.217391	NA	3.552190	1	CUFF.560.1_2+
TCONS_00028013_3+	0.375000	NA	3.415038	1	TCONS_00028013_3+
AGAP012372-RA_2+	0.384615	NA	3.376408	1	AGAP012372-RA_2+,CUFF.9341.1_1+,CUFF.9341.2_3+,CUFF.9341.3_3+,CUFF.9341.4_3+,CUFF.9341.5_1+,CUFF.9341.6_1+,CUFF.9341.7_1+,CUFF.9341.8_2+
