ProteinGroupId	q-value	posterior_error_prob	score	numPeptides	proteinIds
DECOY_CUFF.15875.2_2+	0.133333	NA	4.525215	1	DECOY_CUFF.15875.2_2+,DECOY_CUFF.15875.7_3+
DECOY_AGAP000617-RA_1+	0.187500	NA	4.345022	1	DECOY_AGAP000617-RA_1+,DECOY_AGAP000617-RB_1+,DECOY_CUFF.16512.1_1+
DECOY_ACOM031228-PA	0.217391	NA	4.150219	1	DECOY_ACOM031228-PA
DECOY_CUFF.11993.2_2+	0.217391	NA	4.071763	1	DECOY_CUFF.11993.2_2+
DECOY_CUFF.8167.1_3+	0.260870	NA	3.542399	1	DECOY_CUFF.8167.1_3+
DECOY_AGAP001724-RA_1+	0.347826	NA	3.515719	1	DECOY_AGAP001724-RA_1+
DECOY_CUFF.3500.1_1+	0.347826	NA	3.515719	2	DECOY_CUFF.3500.1_1+,DECOY_CUFF.3500.2_2+,DECOY_CUFF.3500.3_3+,DECOY_CUFF.3500.4_3+,DECOY_CUFF.3500.5_2+,DECOY_CUFF.3500.6_1+
DECOY_AGAP001407-RA_3+	0.375000	NA	3.502980	1	DECOY_AGAP001407-RA_3+
DECOY_CUFF.2873.2_1+	0.384615	NA	3.408029	1	DECOY_CUFF.2873.2_1+
DECOY_ACOM041175-PA	0.423077	NA	3.327403	1	DECOY_ACOM041175-PA
DECOY_AGAP003151-RA_3+	0.444444	NA	3.325296	1	DECOY_AGAP003151-RA_3+
DECOY_AGAP006943-PA	0.464286	NA	3.280076	1	DECOY_AGAP006943-PA,DECOY_AGAP006943-RA_1+,DECOY_CUFF.2412.1_3+
DECOY_CUFF.5868.1_3+	0.500000	NA	3.264235	1	DECOY_CUFF.5868.1_3+
DECOY_CUFF.1888.4_2+	0.513514	NA	3.245446	1	DECOY_CUFF.1888.4_2+
DECOY_AGAP000747-RA_1+	0.513514	NA	3.206803	1	DECOY_AGAP000747-RA_1+,DECOY_AGAP000747-RB_1+,DECOY_CUFF.16811.1_3+
DECOY_AGAP009975-RA_3+	0.513514	NA	3.194148	1	DECOY_AGAP009975-RA_3+,DECOY_CUFF.11839.1_1+,DECOY_CUFF.11839.2_2+
DECOY_sp|P53008|CWH41_YEAST	0.513514	NA	3.120883	1	DECOY_sp|P53008|CWH41_YEAST
DECOY_AGAP010564-RA_3+	0.513514	NA	3.057277	1	DECOY_AGAP010564-RA_3+,DECOY_CUFF.7123.1_2+,DECOY_CUFF.7123.2_1+,DECOY_CUFF.7123.3_2+,DECOY_CUFF.7123.4_2+,DECOY_CUFF.7123.5_3+
DECOY_CUFF.7864.1_1+	0.540541	NA	2.950302	1	DECOY_CUFF.7864.1_1+
DECOY_AGAP005840-RA_3+	0.567568	NA	2.928546	2	DECOY_AGAP005840-RA_3+
DECOY_CUFF.16688.3_1+	0.594595	NA	2.927046	1	DECOY_CUFF.16688.3_1+
DECOY_CUFF.3452.1_2+	0.621622	NA	2.916947	1	DECOY_CUFF.3452.1_2+
DECOY_ACOM041751-PA	0.648649	NA	2.889053	1	DECOY_ACOM041751-PA,DECOY_AGAP010574-PA,DECOY_AGAP010574-RA_1+,DECOY_CUFF.7059.1_2+
DECOY_CUFF.3874.5_1+	0.675000	NA	2.880577	1	DECOY_CUFF.3874.5_1+
DECOY_ACOM022485-PA	0.675000	NA	2.874685	1	DECOY_ACOM022485-PA,DECOY_AGAP010146-PA,DECOY_AGAP010146-RA_1+
DECOY_sp|P40033|RSM18_YEAST	0.675000	NA	2.870844	1	DECOY_sp|P40033|RSM18_YEAST
DECOY_AGAP006615-RA_1+	0.700000	NA	2.829842	1	DECOY_AGAP006615-RA_1+,DECOY_CUFF.2077.2_1+
DECOY_AGAP000387-RA_3+	0.725000	NA	2.826624	1	DECOY_AGAP000387-RA_3+
DECOY_AGAP006945-RA_2+	0.731707	NA	2.814698	1	DECOY_AGAP006945-RA_2+
DECOY_AGAP009786-RA_1+	0.756098	NA	2.796014	1	DECOY_AGAP009786-RA_1+,DECOY_CUFF.11595.1_1+,DECOY_CUFF.11595.3_2+
DECOY_TCONS_00040240_2+	0.761905	NA	2.794052	1	DECOY_TCONS_00040240_2+
DECOY_CUFF.11276.1_1+	0.770833	NA	2.756379	1	DECOY_CUFF.11276.1_1+,DECOY_CUFF.11276.2_1+,DECOY_CUFF.11276.3_1+,DECOY_CUFF.11276.4_1+,DECOY_CUFF.11276.5_1+,DECOY_CUFF.11276.6_1+
DECOY_TCONS_00014211_3+	0.770833	NA	2.750013	1	DECOY_TCONS_00014211_3+
DECOY_CUFF.3890.7_3+	0.770833	NA	2.741763	2	DECOY_CUFF.3890.7_3+
DECOY_AGAP008231-PA	0.770833	NA	2.720587	1	DECOY_AGAP008231-PA,DECOY_AGAP008231-RA_1+
DECOY_CUFF.16134.1_1+	0.770833	NA	2.699822	1	DECOY_CUFF.16134.1_1+,DECOY_CUFF.16134.2_2+,DECOY_CUFF.16134.3_1+
DECOY_AGAP000581-RA_2+	0.775510	NA	2.688182	1	DECOY_AGAP000581-RA_2+,DECOY_AGAP029660-PA,DECOY_CUFF.17128.2_3+
DECOY_CUFF.10872.1_1+	0.795918	NA	2.680869	1	DECOY_CUFF.10872.1_1+
DECOY_CUFF.4009.1_2+	0.816327	NA	2.679848	1	DECOY_CUFF.4009.1_2+
DECOY_AGAP011169-RA_2+	0.820000	NA	2.666382	1	DECOY_AGAP011169-RA_2+,DECOY_CUFF.7877.1_1+
DECOY_AGAP001319-RA_2+	0.823529	NA	2.658249	1	DECOY_AGAP001319-RA_2+
DECOY_AGAP006461-RA_1+	0.828125	NA	2.654312	1	DECOY_AGAP006461-RA_1+,DECOY_CUFF.2057.2_2+
DECOY_AGAP000579-RA_2+	0.828125	NA	2.646551	1	DECOY_AGAP000579-RA_2+
DECOY_AGAP006101-RA_3+	0.828125	NA	2.644598	1	DECOY_AGAP006101-RA_3+,DECOY_CUFF.1651.1_2+,DECOY_CUFF.1651.2_3+,DECOY_CUFF.1651.3_1+
DECOY_sp|Q08157|YOL19_YEAST	0.828125	NA	2.641498	1	DECOY_sp|Q08157|YOL19_YEAST
DECOY_AGAP010168-RA_2+	0.828125	NA	2.630877	1	DECOY_AGAP010168-RA_2+,DECOY_CUFF.12015.1_1+
DECOY_TCONS_00023368_1+	0.828125	NA	2.628172	1	DECOY_TCONS_00023368_1+
DECOY_TCONS_00000482_1+	0.828125	NA	2.619934	1	DECOY_TCONS_00000482_1+
DECOY_CUFF.9630.2_3+	0.828125	NA	2.564713	1	DECOY_CUFF.9630.2_3+
DECOY_CUFF.6122.2_2+	0.828125	NA	2.549662	1	DECOY_CUFF.6122.2_2+
DECOY_CUFF.6159.1_3+	0.828125	NA	2.542443	1	DECOY_CUFF.6159.1_3+,DECOY_CUFF.6159.2_1+,DECOY_CUFF.6159.3_3+,DECOY_CUFF.6159.4_2+,DECOY_CUFF.6159.5_1+
DECOY_AGAP008268-RA_3+	0.828125	NA	2.542349	1	DECOY_AGAP008268-RA_3+,DECOY_CUFF.9828.1_2+,DECOY_CUFF.9828.2_1+
DECOY_AGAP007940-RB_3+	0.828283	NA	2.513209	1	DECOY_AGAP007940-RB_3+,DECOY_CUFF.9567.1_3+
DECOY_ACOM033680-PA	0.828283	NA	2.504155	1	DECOY_ACOM033680-PA,DECOY_AGAP001132-PA,DECOY_AGAP001132-RA_1+,DECOY_CUFF.3137.1_1+,DECOY_CUFF.3137.2_2+
DECOY_ACOM033946-PA	0.828283	NA	2.502572	1	DECOY_ACOM033946-PA,DECOY_AGAP001328-PA,DECOY_AGAP001328-RA_1+,DECOY_CUFF.3124.1_1+,DECOY_CUFF.3124.2_2+,DECOY_CUFF.3124.3_3+,DECOY_CUFF.3124.4_1+,DECOY_CUFF.3124.5_3+
DECOY_CUFF.16056.2_2+	0.828283	NA	2.475833	1	DECOY_CUFF.16056.2_2+
DECOY_CUFF.624.1_2+	0.828283	NA	2.460938	1	DECOY_CUFF.624.1_2+,DECOY_CUFF.624.2_2+
DECOY_ACOM029402-PA	0.828283	NA	2.452146	1	DECOY_ACOM029402-PA
DECOY_ACOM035653-PA	0.828283	NA	2.450049	1	DECOY_ACOM035653-PA,DECOY_AGAP003186-PA,DECOY_AGAP003186-RA_1+,DECOY_CUFF.4926.1_2+,DECOY_CUFF.4926.3_3+,DECOY_CUFF.4926.4_3+
DECOY_AGAP003580-RA_1+	0.828283	NA	2.437406	1	DECOY_AGAP003580-RA_1+,DECOY_CUFF.5236.1_3+
DECOY_AGAP002579-RA_3+	0.828283	NA	2.431792	1	DECOY_AGAP002579-RA_3+,DECOY_CUFF.4313.1_3+,DECOY_CUFF.4313.2_2+,DECOY_CUFF.4313.3_3+,DECOY_CUFF.4313.6_3+
DECOY_sp|Q08816|YO352_YEAST	0.828283	NA	2.422496	1	DECOY_sp|Q08816|YO352_YEAST
DECOY_AGAP011124-RA_2+	0.828283	NA	2.411637	1	DECOY_AGAP011124-RA_2+,DECOY_CUFF.7826.2_2+
DECOY_AGAP003374-RA_1+	0.828283	NA	2.405470	1	DECOY_AGAP003374-RA_1+,DECOY_CUFF.5193.1_1+
DECOY_sp|P38073|EDS1_YEAST	0.828283	NA	2.399311	1	DECOY_sp|P38073|EDS1_YEAST
DECOY_ACOM022424-PA	0.828283	NA	2.396230	1	DECOY_ACOM022424-PA
DECOY_sp|P38193|PP4R2_YEAST	0.828283	NA	2.384065	2	DECOY_sp|P38193|PP4R2_YEAST
DECOY_CUFF.9376.1_3+	0.828283	NA	2.355561	1	DECOY_CUFF.9376.1_3+,DECOY_CUFF.9376.2_1+,DECOY_CUFF.9376.3_2+
DECOY_AGAP011421-RA_3+	0.828283	NA	2.355468	1	DECOY_AGAP011421-RA_3+,DECOY_CUFF.8309.10_3+,DECOY_CUFF.8309.11_3+,DECOY_CUFF.8309.1_1+,DECOY_CUFF.8309.4_2+,DECOY_CUFF.8309.6_2+,DECOY_CUFF.8309.7_3+,DECOY_CUFF.8309.9_3+
DECOY_ACOM037945-PA	0.828283	NA	2.337860	1	DECOY_ACOM037945-PA,DECOY_AGAP028143-RA_3+
DECOY_CUFF.9354.1_2+	0.828283	NA	2.337433	1	DECOY_CUFF.9354.1_2+
DECOY_AGAP000954-PA	0.828283	NA	2.336737	1	DECOY_AGAP000954-PA,DECOY_AGAP000954-PB,DECOY_AGAP000954-PC,DECOY_AGAP000954-PD,DECOY_AGAP000954-RA_3+,DECOY_AGAP000954-RB_3+,DECOY_AGAP000954-RC_2+,DECOY_AGAP000954-RD_3+,DECOY_CUFF.17521.12_2+,DECOY_CUFF.17521.13_1+,DECOY_CUFF.17521.14_3+,DECOY_CUFF.17521.1_3+,DECOY_CUFF.17521.2_1+,DECOY_CUFF.17521.3_3+,DECOY_CUFF.17521.4_2+,DECOY_CUFF.17521.5_3+,DECOY_CUFF.17521.6_1+,DECOY_CUFF.17521.7_1+,DECOY_CUFF.17521.8_3+
DECOY_AGAP008291-RA_2+	0.828283	NA	2.330439	1	DECOY_AGAP008291-RA_2+
DECOY_CUFF.2884.1_3+	0.828283	NA	2.327333	1	DECOY_CUFF.2884.1_3+
DECOY_AGAP000382-RA_2+	0.828283	NA	2.315385	1	DECOY_AGAP000382-RA_2+
DECOY_CUFF.3252.1_2+	0.828283	NA	2.310405	1	DECOY_CUFF.3252.1_2+,DECOY_CUFF.3252.2_1+
DECOY_AGAP003024-PA	0.828283	NA	2.295281	1	DECOY_AGAP003024-PA,DECOY_AGAP003024-PB,DECOY_AGAP003024-PC,DECOY_AGAP003024-PD,DECOY_AGAP003024-RA_2+,DECOY_AGAP003024-RB_3+,DECOY_AGAP003024-RC_3+,DECOY_AGAP003024-RD_3+,DECOY_CUFF.4689.1_3+
DECOY_CUFF.5188.1_3+	0.828283	NA	2.293123	1	DECOY_CUFF.5188.1_3+,DECOY_CUFF.5188.2_3+,DECOY_CUFF.5188.3_3+,DECOY_CUFF.5188.4_1+,DECOY_CUFF.5188.6_3+,DECOY_CUFF.5188.8_3+
DECOY_CUFF.2999.1_3+	0.828283	NA	2.282163	1	DECOY_CUFF.2999.1_3+
DECOY_AGAP004029-RA_1+	0.828283	NA	2.281484	1	DECOY_AGAP004029-RA_1+
DECOY_AGAP028166-RA_2+	0.828283	NA	2.277213	1	DECOY_AGAP028166-RA_2+,DECOY_CUFF.8082.1_3+
DECOY_CUFF.2906.1_2+	0.828283	NA	2.256513	1	DECOY_CUFF.2906.1_2+
DECOY_CUFF.10176.3_3+	0.828283	NA	2.255549	1	DECOY_CUFF.10176.3_3+
DECOY_AGAP002687-RA_3+	0.828283	NA	2.248584	1	DECOY_AGAP002687-RA_3+,DECOY_CUFF.4405.1_3+
DECOY_CUFF.2520.1_2+	0.828283	NA	2.248373	1	DECOY_CUFF.2520.1_2+,DECOY_CUFF.2520.2_2+,DECOY_CUFF.2520.3_3+,DECOY_CUFF.8013.3_1+
DECOY_ACOM034742-PA	0.828283	NA	2.244599	1	DECOY_ACOM034742-PA,DECOY_AGAP003872-PA,DECOY_AGAP003872-RA_1+,DECOY_CUFF.5555.1_1+
DECOY_CUFF.17492.1_1+	0.828283	NA	2.240408	1	DECOY_CUFF.17492.1_1+,DECOY_CUFF.17492.2_1+,DECOY_CUFF.17492.3_2+,DECOY_CUFF.17492.4_2+
DECOY_AGAP003271-RA_3+	0.828283	NA	2.235352	1	DECOY_AGAP003271-RA_3+,DECOY_CUFF.4943.1_1+
DECOY_AGAP000814-RA_3+	0.828283	NA	2.233479	1	DECOY_AGAP000814-RA_3+,DECOY_CUFF.16875.1_1+,DECOY_CUFF.16875.2_1+
DECOY_ACOM027237-PA	0.828283	NA	2.227100	1	DECOY_ACOM027237-PA,DECOY_AGAP009128-PA,DECOY_AGAP009128-RA_2+
DECOY_sp|Q12224|RLM1_YEAST	0.828283	NA	2.223637	1	DECOY_sp|Q12224|RLM1_YEAST
DECOY_AGAP006682-RA_1+	0.828283	NA	2.215032	1	DECOY_AGAP006682-RA_1+
DECOY_AGAP002481-RA_3+	0.828283	NA	2.211939	1	DECOY_AGAP002481-RA_3+
DECOY_AGAP001009-RA_1+	0.828283	NA	2.197925	1	DECOY_AGAP001009-RA_1+,DECOY_CUFF.17220.1_1+
DECOY_ACOM039563-PA	0.828283	NA	2.182041	1	DECOY_ACOM039563-PA
DECOY_TCONS_00031607_2+	0.828283	NA	2.175623	1	DECOY_TCONS_00031607_2+
DECOY_sp|Q05580|HEL2_YEAST	0.828283	NA	2.174376	1	DECOY_sp|Q05580|HEL2_YEAST
